work_id,name,total,rank,fetch_time
21,嶙骨,5811,12,2024-11-19 15:24
4,不渡山海,5061,13,2024-11-19 15:24
15,魂赴九幽,4606,14,2024-11-19 15:24
39,万物皆一,4507,15,2024-11-19 15:24
7,此叶庭庭,4339,16,2024-11-19 15:24
30,神鼬献金,4098,17,2024-11-19 15:24
37,听梨声,4066,18,2024-11-19 15:24
9,渡君心,3769,19,2024-11-19 15:24
3,波光摇月,3305,20,2024-11-19 15:24
48,跃龙门,2926,21,2024-11-19 15:24
19,枯枝繁影,2642,22,2024-11-19 15:24
25,青云来,2628,23,2024-11-19 15:24
2,百雀裘,2472,24,2024-11-19 15:24
50,占春风,2433,25,2024-11-19 15:24
14,浣轻羽,2424,26,2024-11-19 15:24
12,伏虎藏龙,2358,27,2024-11-19 15:24
42,雪覆夜狸,2349,28,2024-11-19 15:24
20,快马长安,2258,29,2024-11-19 15:24
10,返魂香,2189,30,2024-11-19 15:24
18,江湖客,2157,31,2024-11-19 15:24
34,蜀中赋,2145,32,2024-11-19 15:24
22,流洲照影,2048,33,2024-11-19 15:24
33,世上千年,1852,34,2024-11-19 15:24
11,梵音妙相,1753,35,2024-11-19 15:24
28,穷奇,1583,36,2024-11-19 15:24
31,神羽坠星,1525,37,2024-11-19 15:24
27,清莲蛇影,1473,38,2024-11-19 15:24
8,粗麦包,1473,38,2024-11-19 15:24
40,望鹤燕归,1448,39,2024-11-19 15:24
16,火啖青园,1370,40,2024-11-19 15:24
43,燕归梁,1344,41,2024-11-19 15:24
5,不染尘,1336,42,2024-11-19 15:24
44,夜雨寄北,1161,43,2024-11-19 15:24
36,岁焰生花,1022,44,2024-11-19 15:24
38,听涛,959,45,2024-11-19 15:24
29,雀别枝,739,46,2024-11-19 15:24
32,石火梦身,715,47,2024-11-19 15:24
35,松见礼,689,48,2024-11-19 15:24
13,鹤灵,654,49,2024-11-19 15:24
6,沧蝶泪,28059,1,2024-11-19 15:44
17,见南山,16465,2,2024-11-19 15:44
49,云华九歌,13486,3,2024-11-19 15:44
41,小龙铃,13051,4,2024-11-19 15:44
47,余梦,11659,5,2024-11-19 15:44
45,一相三昧,10147,6,2024-11-19 15:44
1,霸王别姬,9356,7,2024-11-19 15:44
23,难渡我,8345,8,2024-11-19 15:44
24,青丘旧梦,7240,9,2024-11-19 15:44
26,清尘心,6948,10,2024-11-19 15:44
46,遗落宝匣,6137,11,2024-11-19 15:44
21,嶙骨,5850,12,2024-11-19 15:44
4,不渡山海,5147,13,2024-11-19 15:44
15,魂赴九幽,4660,14,2024-11-19 15:44
39,万物皆一,4547,15,2024-11-19 15:44
7,此叶庭庭,4373,16,2024-11-19 15:44
30,神鼬献金,4141,17,2024-11-19 15:44
37,听梨声,4106,18,2024-11-19 15:44
9,渡君心,3803,19,2024-11-19 15:44
3,波光摇月,3342,20,2024-11-19 15:44
48,跃龙门,2957,21,2024-11-19 15:44
19,枯枝繁影,2669,22,2024-11-19 15:44
25,青云来,2649,23,2024-11-19 15:44
2,百雀裘,2502,24,2024-11-19 15:44
50,占春风,2463,25,2024-11-19 15:44
14,浣轻羽,2447,26,2024-11-19 15:44
12,伏虎藏龙,2381,27,2024-11-19 15:44
42,雪覆夜狸,2379,28,2024-11-19 15:44
20,快马长安,2277,29,2024-11-19 15:44
10,返魂香,2206,30,2024-11-19 15:44
18,江湖客,2188,31,2024-11-19 15:44
34,蜀中赋,2162,32,2024-11-19 15:44
22,流洲照影,2068,33,2024-11-19 15:44
33,世上千年,1873,34,2024-11-19 15:44
11,梵音妙相,1774,35,2024-11-19 15:44
28,穷奇,1608,36,2024-11-19 15:44
31,神羽坠星,1550,37,2024-11-19 15:44
27,清莲蛇影,1497,38,2024-11-19 15:44
8,粗麦包,1488,39,2024-11-19 15:44
40,望鹤燕归,1460,40,2024-11-19 15:44
16,火啖青园,1378,41,2024-11-19 15:44
43,燕归梁,1357,42,2024-11-19 15:44
5,不染尘,1349,43,2024-11-19 15:44
44,夜雨寄北,1175,44,2024-11-19 15:44
36,岁焰生花,1031,45,2024-11-19 15:44
38,听涛,968,46,2024-11-19 15:44
29,雀别枝,754,47,2024-11-19 15:44
32,石火梦身,723,48,2024-11-19 15:44
35,松见礼,700,49,2024-11-19 15:44
13,鹤灵,659,50,2024-11-19 15:44
6,沧蝶泪,28286,1,2024-11-19 16:04
17,见南山,16607,2,2024-11-19 16:04
49,云华九歌,13606,3,2024-11-19 16:04
41,小龙铃,13187,4,2024-11-19 16:04
47,余梦,11775,5,2024-11-19 16:04
45,一相三昧,10260,6,2024-11-19 16:04
1,霸王别姬,9431,7,2024-11-19 16:04
23,难渡我,8408,8,2024-11-19 16:04
24,青丘旧梦,7311,9,2024-11-19 16:04
26,清尘心,7002,10,2024-11-19 16:04
46,遗落宝匣,6192,11,2024-11-19 16:04
21,嶙骨,5896,12,2024-11-19 16:04
4,不渡山海,5222,13,2024-11-19 16:04
15,魂赴九幽,4700,14,2024-11-19 16:04
39,万物皆一,4581,15,2024-11-19 16:04
7,此叶庭庭,4412,16,2024-11-19 16:04
30,神鼬献金,4188,17,2024-11-19 16:04
37,听梨声,4140,18,2024-11-19 16:04
9,渡君心,3839,19,2024-11-19 16:04
3,波光摇月,3388,20,2024-11-19 16:04
48,跃龙门,2986,21,2024-11-19 16:04
19,枯枝繁影,2690,22,2024-11-19 16:04
25,青云来,2678,23,2024-11-19 16:04
2,百雀裘,2522,24,2024-11-19 16:04
50,占春风,2493,25,2024-11-19 16:04
14,浣轻羽,2480,26,2024-11-19 16:04
12,伏虎藏龙,2412,27,2024-11-19 16:04
42,雪覆夜狸,2408,28,2024-11-19 16:04
20,快马长安,2299,29,2024-11-19 16:04
10,返魂香,2232,30,2024-11-19 16:04
18,江湖客,2210,31,2024-11-19 16:04
34,蜀中赋,2196,32,2024-11-19 16:04
22,流洲照影,2092,33,2024-11-19 16:04
33,世上千年,1884,34,2024-11-19 16:04
11,梵音妙相,1791,35,2024-11-19 16:04
28,穷奇,1621,36,2024-11-19 16:04
31,神羽坠星,1570,37,2024-11-19 16:04
27,清莲蛇影,1513,38,2024-11-19 16:04
8,粗麦包,1502,39,2024-11-19 16:04
40,望鹤燕归,1479,40,2024-11-19 16:04
16,火啖青园,1384,41,2024-11-19 16:04
5,不染尘,1367,42,2024-11-19 16:04
43,燕归梁,1364,43,2024-11-19 16:04
44,夜雨寄北,1187,44,2024-11-19 16:04
36,岁焰生花,1043,45,2024-11-19 16:04
38,听涛,982,46,2024-11-19 16:04
29,雀别枝,762,47,2024-11-19 16:04
32,石火梦身,733,48,2024-11-19 16:04
35,松见礼,708,49,2024-11-19 16:04
13,鹤灵,665,50,2024-11-19 16:04
6,沧蝶泪,28503,1,2024-11-19 16:24
17,见南山,16767,2,2024-11-19 16:24
49,云华九歌,13729,3,2024-11-19 16:24
41,小龙铃,13308,4,2024-11-19 16:24
47,余梦,11901,5,2024-11-19 16:24
45,一相三昧,10367,6,2024-11-19 16:24
1,霸王别姬,9520,7,2024-11-19 16:24
23,难渡我,8492,8,2024-11-19 16:24
24,青丘旧梦,7391,9,2024-11-19 16:24
26,清尘心,7057,10,2024-11-19 16:24
46,遗落宝匣,6228,11,2024-11-19 16:24
21,嶙骨,5946,12,2024-11-19 16:24
4,不渡山海,5293,13,2024-11-19 16:24
15,魂赴九幽,4730,14,2024-11-19 16:24
39,万物皆一,4612,15,2024-11-19 16:24
7,此叶庭庭,4448,16,2024-11-19 16:24
30,神鼬献金,4232,17,2024-11-19 16:24
37,听梨声,4179,18,2024-11-19 16:24
9,渡君心,3879,19,2024-11-19 16:24
3,波光摇月,3421,20,2024-11-19 16:24
48,跃龙门,3022,21,2024-11-19 16:24
19,枯枝繁影,2715,22,2024-11-19 16:24
25,青云来,2701,23,2024-11-19 16:24
2,百雀裘,2551,24,2024-11-19 16:24
50,占春风,2520,25,2024-11-19 16:24
14,浣轻羽,2504,26,2024-11-19 16:24
42,雪覆夜狸,2449,27,2024-11-19 16:24
12,伏虎藏龙,2442,28,2024-11-19 16:24
20,快马长安,2322,29,2024-11-19 16:24
10,返魂香,2247,30,2024-11-19 16:24
18,江湖客,2240,31,2024-11-19 16:24
34,蜀中赋,2216,32,2024-11-19 16:24
22,流洲照影,2112,33,2024-11-19 16:24
33,世上千年,1902,34,2024-11-19 16:24
11,梵音妙相,1814,35,2024-11-19 16:24
28,穷奇,1641,36,2024-11-19 16:24
31,神羽坠星,1584,37,2024-11-19 16:24
27,清莲蛇影,1526,38,2024-11-19 16:24
8,粗麦包,1518,39,2024-11-19 16:24
40,望鹤燕归,1497,40,2024-11-19 16:24
16,火啖青园,1399,41,2024-11-19 16:24
43,燕归梁,1381,42,2024-11-19 16:24
5,不染尘,1379,43,2024-11-19 16:24
44,夜雨寄北,1200,44,2024-11-19 16:24
36,岁焰生花,1054,45,2024-11-19 16:24
38,听涛,993,46,2024-11-19 16:24
29,雀别枝,774,47,2024-11-19 16:24
32,石火梦身,738,48,2024-11-19 16:24
35,松见礼,713,49,2024-11-19 16:24
13,鹤灵,672,50,2024-11-19 16:24
6,沧蝶泪,28687,1,2024-11-19 16:44
17,见南山,16921,2,2024-11-19 16:44
49,云华九歌,13846,3,2024-11-19 16:44
41,小龙铃,13462,4,2024-11-19 16:44
47,余梦,12015,5,2024-11-19 16:44
45,一相三昧,10476,6,2024-11-19 16:44
1,霸王别姬,9600,7,2024-11-19 16:44
23,难渡我,8566,8,2024-11-19 16:44
24,青丘旧梦,7453,9,2024-11-19 16:44
26,清尘心,7109,10,2024-11-19 16:44
46,遗落宝匣,6276,11,2024-11-19 16:44
21,嶙骨,5999,12,2024-11-19 16:44
4,不渡山海,5376,13,2024-11-19 16:44
15,魂赴九幽,4781,14,2024-11-19 16:44
39,万物皆一,4653,15,2024-11-19 16:44
7,此叶庭庭,4498,16,2024-11-19 16:44
30,神鼬献金,4278,17,2024-11-19 16:44
37,听梨声,4221,18,2024-11-19 16:44
9,渡君心,3909,19,2024-11-19 16:44
3,波光摇月,3470,20,2024-11-19 16:44
48,跃龙门,3050,21,2024-11-19 16:44
19,枯枝繁影,2735,22,2024-11-19 16:44
25,青云来,2719,23,2024-11-19 16:44
2,百雀裘,2579,24,2024-11-19 16:44
50,占春风,2550,25,2024-11-19 16:44
14,浣轻羽,2525,26,2024-11-19 16:44
42,雪覆夜狸,2483,27,2024-11-19 16:44
12,伏虎藏龙,2469,28,2024-11-19 16:44
20,快马长安,2338,29,2024-11-19 16:44
10,返魂香,2265,30,2024-11-19 16:44
18,江湖客,2258,31,2024-11-19 16:44
34,蜀中赋,2242,32,2024-11-19 16:44
22,流洲照影,2124,33,2024-11-19 16:44
33,世上千年,1913,34,2024-11-19 16:44
11,梵音妙相,1822,35,2024-11-19 16:44
28,穷奇,1663,36,2024-11-19 16:44
31,神羽坠星,1607,37,2024-11-19 16:44
27,清莲蛇影,1539,38,2024-11-19 16:44
8,粗麦包,1536,39,2024-11-19 16:44
40,望鹤燕归,1512,40,2024-11-19 16:44
16,火啖青园,1417,41,2024-11-19 16:44
5,不染尘,1398,42,2024-11-19 16:44
43,燕归梁,1391,43,2024-11-19 16:44
44,夜雨寄北,1211,44,2024-11-19 16:44
36,岁焰生花,1067,45,2024-11-19 16:44
38,听涛,1010,46,2024-11-19 16:44
29,雀别枝,782,47,2024-11-19 16:44
32,石火梦身,751,48,2024-11-19 16:44
35,松见礼,726,49,2024-11-19 16:44
13,鹤灵,675,50,2024-11-19 16:44
6,沧蝶泪,28894,1,2024-11-19 17:04
17,见南山,17056,2,2024-11-19 17:04
49,云华九歌,13960,3,2024-11-19 17:04
41,小龙铃,13617,4,2024-11-19 17:04
47,余梦,12153,5,2024-11-19 17:04
45,一相三昧,10578,6,2024-11-19 17:04
1,霸王别姬,9682,7,2024-11-19 17:04
23,难渡我,8644,8,2024-11-19 17:04
24,青丘旧梦,7527,9,2024-11-19 17:04
26,清尘心,7164,10,2024-11-19 17:04
46,遗落宝匣,6327,11,2024-11-19 17:04
21,嶙骨,6052,12,2024-11-19 17:04
4,不渡山海,5447,13,2024-11-19 17:04
15,魂赴九幽,4821,14,2024-11-19 17:04
39,万物皆一,4699,15,2024-11-19 17:04
7,此叶庭庭,4536,16,2024-11-19 17:04
30,神鼬献金,4317,17,2024-11-19 17:04
37,听梨声,4251,18,2024-11-19 17:04
9,渡君心,3945,19,2024-11-19 17:04
3,波光摇月,3498,20,2024-11-19 17:04
48,跃龙门,3091,21,2024-11-19 17:04
19,枯枝繁影,2761,22,2024-11-19 17:04
25,青云来,2738,23,2024-11-19 17:04
2,百雀裘,2595,24,2024-11-19 17:04
50,占春风,2569,25,2024-11-19 17:04
14,浣轻羽,2546,26,2024-11-19 17:04
42,雪覆夜狸,2509,27,2024-11-19 17:04
12,伏虎藏龙,2494,28,2024-11-19 17:04
20,快马长安,2362,29,2024-11-19 17:04
10,返魂香,2289,30,2024-11-19 17:04
18,江湖客,2275,31,2024-11-19 17:04
34,蜀中赋,2259,32,2024-11-19 17:04
22,流洲照影,2141,33,2024-11-19 17:04
33,世上千年,1932,34,2024-11-19 17:04
11,梵音妙相,1842,35,2024-11-19 17:04
28,穷奇,1676,36,2024-11-19 17:04
31,神羽坠星,1622,37,2024-11-19 17:04
27,清莲蛇影,1554,38,2024-11-19 17:04
8,粗麦包,1550,39,2024-11-19 17:04
40,望鹤燕归,1527,40,2024-11-19 17:04
16,火啖青园,1441,41,2024-11-19 17:04
5,不染尘,1415,42,2024-11-19 17:04
43,燕归梁,1404,43,2024-11-19 17:04
44,夜雨寄北,1217,44,2024-11-19 17:04
36,岁焰生花,1078,45,2024-11-19 17:04
38,听涛,1016,46,2024-11-19 17:04
29,雀别枝,792,47,2024-11-19 17:04
32,石火梦身,760,48,2024-11-19 17:04
35,松见礼,732,49,2024-11-19 17:04
13,鹤灵,679,50,2024-11-19 17:04
6,沧蝶泪,29104,1,2024-11-19 17:24
17,见南山,17212,2,2024-11-19 17:24
49,云华九歌,14099,3,2024-11-19 17:24
41,小龙铃,13765,4,2024-11-19 17:24
47,余梦,12281,5,2024-11-19 17:24
45,一相三昧,10693,6,2024-11-19 17:24
1,霸王别姬,9784,7,2024-11-19 17:24
23,难渡我,8705,8,2024-11-19 17:24
24,青丘旧梦,7591,9,2024-11-19 17:24
26,清尘心,7237,10,2024-11-19 17:24
46,遗落宝匣,6388,11,2024-11-19 17:24
21,嶙骨,6099,12,2024-11-19 17:24
4,不渡山海,5522,13,2024-11-19 17:24
15,魂赴九幽,4856,14,2024-11-19 17:24
39,万物皆一,4740,15,2024-11-19 17:24
7,此叶庭庭,4581,16,2024-11-19 17:24
30,神鼬献金,4368,17,2024-11-19 17:24
37,听梨声,4291,18,2024-11-19 17:24
9,渡君心,3973,19,2024-11-19 17:24
3,波光摇月,3534,20,2024-11-19 17:24
48,跃龙门,3124,21,2024-11-19 17:24
19,枯枝繁影,2779,22,2024-11-19 17:24
25,青云来,2754,23,2024-11-19 17:24
2,百雀裘,2612,24,2024-11-19 17:24
50,占春风,2589,25,2024-11-19 17:24
14,浣轻羽,2570,26,2024-11-19 17:24
42,雪覆夜狸,2535,27,2024-11-19 17:24
12,伏虎藏龙,2520,28,2024-11-19 17:24
20,快马长安,2379,29,2024-11-19 17:24
10,返魂香,2314,30,2024-11-19 17:24
18,江湖客,2303,31,2024-11-19 17:24
34,蜀中赋,2280,32,2024-11-19 17:24
22,流洲照影,2160,33,2024-11-19 17:24
33,世上千年,1952,34,2024-11-19 17:24
11,梵音妙相,1855,35,2024-11-19 17:24
28,穷奇,1689,36,2024-11-19 17:24
31,神羽坠星,1636,37,2024-11-19 17:24
27,清莲蛇影,1577,38,2024-11-19 17:24
8,粗麦包,1563,39,2024-11-19 17:24
40,望鹤燕归,1541,40,2024-11-19 17:24
16,火啖青园,1460,41,2024-11-19 17:24
5,不染尘,1423,42,2024-11-19 17:24
43,燕归梁,1421,43,2024-11-19 17:24
44,夜雨寄北,1230,44,2024-11-19 17:24
36,岁焰生花,1088,45,2024-11-19 17:24
38,听涛,1026,46,2024-11-19 17:24
29,雀别枝,800,47,2024-11-19 17:24
32,石火梦身,772,48,2024-11-19 17:24
35,松见礼,742,49,2024-11-19 17:24
13,鹤灵,682,50,2024-11-19 17:24
6,沧蝶泪,29299,1,2024-11-19 17:44
